physics_tick,simulation_time_s,body_name,role,obstacle_pair_active,persistent_or_penetrating,body_collision,source,reason
0,0.0,base_link,BODY,False,False,False,body_contacts.jsonl,
1,0.008333333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
2,0.016666666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
3,0.025,base_link,BODY,False,False,False,body_contacts.jsonl,
4,0.03333333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
5,0.041666666666666664,base_link,BODY,False,False,False,body_contacts.jsonl,
6,0.05,base_link,BODY,False,False,False,body_contacts.jsonl,
7,0.058333333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
8,0.06666666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
9,0.075,base_link,BODY,False,False,False,body_contacts.jsonl,
10,0.08333333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
11,0.09166666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
12,0.1,base_link,BODY,False,False,False,body_contacts.jsonl,
13,0.10833333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
14,0.11666666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
15,0.125,base_link,BODY,False,False,False,body_contacts.jsonl,
16,0.13333333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
17,0.14166666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
18,0.15,base_link,BODY,False,False,False,body_contacts.jsonl,
19,0.15833333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
20,0.16666666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
21,0.175,base_link,BODY,False,False,False,body_contacts.jsonl,
22,0.18333333333333332,base_link,BODY,False,False,False,body_contacts.jsonl,
23,0.19166666666666665,base_link,BODY,False,False,False,body_contacts.jsonl,
24,0.2,base_link,BODY,False,False,False,body_contacts.jsonl,
25,0.20833333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
26,0.21666666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
27,0.225,base_link,BODY,False,False,False,body_contacts.jsonl,
28,0.23333333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
29,0.24166666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
30,0.25,base_link,BODY,False,False,False,body_contacts.jsonl,
31,0.2583333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
32,0.26666666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
33,0.275,base_link,BODY,False,False,False,body_contacts.jsonl,
34,0.2833333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
35,0.2916666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
36,0.3,base_link,BODY,False,False,False,body_contacts.jsonl,
37,0.30833333333333335,base_link,BODY,False,False,False,body_contacts.jsonl,
38,0.31666666666666665,base_link,BODY,False,False,False,body_contacts.jsonl,
39,0.325,base_link,BODY,False,False,False,body_contacts.jsonl,
40,0.3333333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
41,0.3416666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
42,0.35,base_link,BODY,False,False,False,body_contacts.jsonl,
43,0.35833333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
44,0.36666666666666664,base_link,BODY,False,False,False,body_contacts.jsonl,
45,0.375,base_link,BODY,False,False,False,body_contacts.jsonl,
46,0.3833333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
47,0.39166666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
48,0.4,base_link,BODY,False,False,False,body_contacts.jsonl,
49,0.4083333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
50,0.4166666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
51,0.425,base_link,BODY,False,False,False,body_contacts.jsonl,
52,0.43333333333333335,base_link,BODY,False,False,False,body_contacts.jsonl,
53,0.44166666666666665,base_link,BODY,False,False,False,body_contacts.jsonl,
54,0.45,base_link,BODY,False,False,False,body_contacts.jsonl,
55,0.4583333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
56,0.4666666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
57,0.475,base_link,BODY,False,False,False,body_contacts.jsonl,
58,0.48333333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
59,0.49166666666666664,base_link,BODY,False,False,False,body_contacts.jsonl,
60,0.5,base_link,BODY,False,False,False,body_contacts.jsonl,
61,0.5083333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
62,0.5166666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
63,0.525,base_link,BODY,False,False,False,body_contacts.jsonl,
64,0.5333333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
65,0.5416666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
