leg,event,physics_tick,simulation_time_s,state_id,source,evidence
FR,ACTIVE_LIFT,1624,13.533333333333333,P02,leg_crossing_events.jsonl,"{""passed"":true,""value"":{""latched"":true,""latch_tick"":1624,""clearance_gain_m"":0.10328072682023048,""recent_clearance_gain_m"":0.008740395307540894,""air_seen"":true,""recent_air_seen"":true,""near_obstacle_front"":true,""joint_motion_deg"":{""front_right_hip"":1.123937316570125,""front_right_knee"":16.958474652695404},""recent_joint_motion_deg"":{""front_right_hip"":0.07696534633205399,""front_right_knee"":15.837367482370787}},""source"":""measured joint response plus wheel-bottom rise and exact-pair AIR history"",""reason"":""""}"
FR,FRONT_FACE_CROSSED,1665,13.875,P03,leg_crossing_events.jsonl,"{""passed"":true,""value"":{""latched"":true,""latch_tick"":1665},""source"":""live wheel-center/front-plane latch"",""reason"":""""}"
FR,TOP_LOADED,1695,14.125,P03,leg_crossing_events.jsonl,"{""passed"":true,""value"":{""latched"":true,""latch_tick"":1695},""source"":""persistent exact wheel/obstacle pair plus top geometry"",""reason"":""""}"
FL,ACTIVE_LIFT,2418,20.15,P05,leg_crossing_events.jsonl,"{""passed"":true,""value"":{""latched"":true,""latch_tick"":2418,""clearance_gain_m"":0.010974511504173279,""recent_clearance_gain_m"":0.009092919528484344,""air_seen"":true,""recent_air_seen"":true,""near_obstacle_front"":true,""joint_motion_deg"":{""front_left_hip"":47.92274275983035,""front_left_knee"":56.612136184055785},""recent_joint_motion_deg"":{""front_left_hip"":0.41137845172845955,""front_left_knee"":11.231924217421334}},""source"":""measured joint response plus wheel-bottom rise and exact-pair AIR history"",""reason"":""""}"
FL,FRONT_FACE_CROSSED,3109,25.90833333333333,P05,leg_crossing_events.jsonl,"{""passed"":true,""value"":{""latched"":true,""latch_tick"":3109},""source"":""live wheel-center/front-plane latch"",""reason"":""""}"
FL,TOP_LOADED,3581,29.841666666666665,P06,leg_crossing_events.jsonl,"{""passed"":true,""value"":{""latched"":true,""latch_tick"":3581},""source"":""persistent exact wheel/obstacle pair plus top geometry"",""reason"":""""}"
RR,ACTIVE_LIFT,6918,57.65,P09,leg_crossing_events.jsonl,"{""passed"":true,""value"":{""latched"":true,""latch_tick"":6918,""clearance_gain_m"":0.012987293303012848,""recent_clearance_gain_m"":0.010354407131671906,""air_seen"":true,""recent_air_seen"":true,""near_obstacle_front"":true,""joint_motion_deg"":{""rear_right_hip"":49.431653131857,""rear_right_knee"":26.616937294048807},""recent_joint_motion_deg"":{""rear_right_hip"":1.7265410880896415,""rear_right_knee"":0.3149064052919669}},""source"":""measured joint response plus wheel-bottom rise and exact-pair AIR history"",""reason"":""""}"
RR,FRONT_FACE_CROSSED,7110,59.25,P09,leg_crossing_events.jsonl,"{""passed"":true,""value"":{""latched"":true,""latch_tick"":7110},""source"":""live wheel-center/front-plane latch"",""reason"":""""}"
RR,TOP_LOADED,7579,63.15833333333333,P09,leg_crossing_events.jsonl,"{""passed"":true,""value"":{""latched"":true,""latch_tick"":7579},""source"":""persistent exact wheel/obstacle pair plus top geometry"",""reason"":""""}"
RL,ACTIVE_LIFT,7726,64.38333333333333,P09,leg_crossing_events.jsonl,"{""passed"":true,""value"":{""latched"":true,""latch_tick"":7726,""clearance_gain_m"":0.07049386948347092,""recent_clearance_gain_m"":0.00838448852300644,""air_seen"":true,""recent_air_seen"":true,""near_obstacle_front"":true,""joint_motion_deg"":{""rear_left_hip"":151.2620808993951,""rear_left_knee"":68.23074216612734},""recent_joint_motion_deg"":{""rear_left_hip"":2.722330695606777,""rear_left_knee"":3.7656984403868883}},""source"":""measured joint response plus wheel-bottom rise and exact-pair AIR history"",""reason"":""""}"
RL,FRONT_FACE_CROSSED,8389,69.90833333333333,P12,leg_crossing_events.jsonl,"{""passed"":true,""value"":{""latched"":true,""latch_tick"":8389},""source"":""live wheel-center/front-plane latch"",""reason"":""""}"
RL,TOP_LOADED,8419,70.15833333333333,P12,leg_crossing_events.jsonl,"{""passed"":true,""value"":{""latched"":true,""latch_tick"":8419},""source"":""persistent exact wheel/obstacle pair plus top geometry"",""reason"":""""}"
