"candidate","event_family","event_detail","occurrence","phase","physics_tick","simulation_time_s","source_event_pre_step_tick","source_event_post_step_tick","sampled_last_command_pre_tick","sampled_last_command_post_tick","owner_observation_tick","decision_end_tick","body_collider_min_recorded_m","body_collider_min_independent_m","base_origin_z_m","RR_mount_USD_z_m","RR_mount_URDF_estimate_z_m","RR_upper_link_origin_measured_z_m","RR_mount_to_wheel_link_origin_vertical_distance_m","RR_front_distance_m","RR_top_gap_m","FL_source_N_deg","FL_final_target_deg","FL_actual_deg","RL_source_N_deg","RL_final_target_deg","RL_actual_deg","RR_hip_source_N_deg","RR_hip_final_target_deg","RR_hip_actual_deg","RR_knee_source_N_deg","RR_knee_mapper_N_deg","RR_knee_geometry_adjustment_deg","RR_knee_geometry_corrected_N_deg","RR_knee_final_target_deg","RR_knee_actual_deg","RR_knee_actual_lower_margin_deg","RR_policy_interval_lower_deg","RR_policy_interval_upper_deg","RR_initial_lift_current","RR_qualified_lift_current","RR_current_lift_valid","RR_history_Q","RR_history_C","RR_history_P","RR_ground_contact","RR_support","RR_bearing_force_N","RR_load_fraction","RR_load_fraction_valid","FL_source_reduction_deg","RL_source_reduction_deg","next_native_FL_N_deg","next_native_RL_N_deg","body_collision","task_success","termination_reason","height_sample_exact_tick","height_sample_before_tick","height_sample_after_tick","geometry_mode_and_confound","source_physical_path","source_physical_line","source_native_path","source_native_line","source_owner_path","source_owner_line","evidence_pointer","unknown_and_clock_notes","evaluation_termination_reason","controller_termination_reason","source_acceptance_error","source_terminal_decision_path","source_terminal_decision_line","candidate_source_head","candidate_runtime_sha256","RR_wheel_link_origin_z_m","RR_wheel_collider_min_z_m","RR_wheel_center_z_m"
"A_FROZEN","P07_SOURCE_START","P07_SOURCE_START",1,,6648,55.4,6648,6649,6647,6648,,,,,0.09409128874540329,,0.2087443790769538,0.2087443619966507,,-0.12157952444720621,-0.05026416737270922,22.8,21.55,21.863976692300408,6.9,5.65,6.285813448188574,0,-1.3499030061922759,-0.862226085390764,0,,,,0.9543498893273243,0.7671436622852512,60.76714366228525,,,,,,,,,,,,,,,,,,false,,,,,,"Frozen A cached wheel extents; old ACTIVE_LIFT semantics, source entry/VERIFY behavior differs; not a same-runtime controlled comparison","C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\observation_120hz.jsonl",6649,"C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\full12_commands_120hz.jsonl",6648,,,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_height_and_p02_recovery_v1\existing_A_B2_height_window.json#/rows where run_label=A_FROZEN and physics_tick=6648","A body collider min and direct USD mount were not retained. 7777 is RR source tail, NOT full-run terminal. Old qualification is not current semantic Q.",,,,,,,,,,
"A_FROZEN","P08_SOURCE_START","P08_SOURCE_START",1,,6856,57.13333333333333,6856,6857,6855,6856,,,,,0.094422347843647,,0.20850281824449984,0.20850279927253723,,-0.12286436216998453,-0.050275715772634455,38.6,37.35,40.00197775028157,6.9,5.005484283808274,6.557276755429792,0,-0.41774376114808875,-0.5684260318511944,0,,,,0.4775017265267647,0.5882992676541399,60.588299267654136,,,,,,,,,,,,,,,,,,false,,,,,,"Frozen A cached wheel extents; old ACTIVE_LIFT semantics, source entry/VERIFY behavior differs; not a same-runtime controlled comparison","C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\observation_120hz.jsonl",6857,"C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\full12_commands_120hz.jsonl",6856,,,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_height_and_p02_recovery_v1\existing_A_B2_height_window.json#/rows where run_label=A_FROZEN and physics_tick=6856","A body collider min and direct USD mount were not retained. 7777 is RR source tail, NOT full-run terminal. Old qualification is not current semantic Q.",,,,,,,,,,
"A_FROZEN","RR_FIRST_QUALIFICATION","A legacy ACTIVE_LIFT latch; not equivalent to revised Q",1,,6918,57.65,,,6917,6918,,,,,0.06775917112827301,,0.21134229768238716,0.21134231984615326,,-0.0648582841651475,-0.03620508942437739,38.6,37.35,37.30998504742069,31.2,32.449999999999996,30.425473128442786,1.6,2.85,0.14988468603494814,0,,,,0.4775017265267647,0.6393211275996789,60.63932112759968,,,,,,true,,,,,,,,,,,,false,,,,,,"Frozen A cached wheel extents; old ACTIVE_LIFT semantics, source entry/VERIFY behavior differs; not a same-runtime controlled comparison","C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\observation_120hz.jsonl",6919,"C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\full12_commands_120hz.jsonl",6918,,,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_height_and_p02_recovery_v1\existing_A_B2_height_window.json#/rows where run_label=A_FROZEN and physics_tick=6918","A body collider min and direct USD mount were not retained. 7777 is RR source tail, NOT full-run terminal. Old qualification is not current semantic Q.",,,,,,,,,,
"A_FROZEN","RR_CROSS_EVENT","RR_CROSS_EVENT",1,,7109,59.24166666666667,,,7108,7109,,,,,0.05403453856706619,,0.20879212482467577,0.2087920904159546,,0.00042838198971395514,0.029976309503788046,38.6,37.35,37.491524645370454,31.2,32.449999999999996,33.985415535177616,10.1,8.85,16.558582431376575,-37.8,,,,-39.05,-38.8680649090781,21.1319350909219,,,,,,true,true,,,,,,,,,,,false,,,,,,"Frozen A cached wheel extents; old ACTIVE_LIFT semantics, source entry/VERIFY behavior differs; not a same-runtime controlled comparison","C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\observation_120hz.jsonl",7110,"C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\full12_commands_120hz.jsonl",7109,,,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_height_and_p02_recovery_v1\existing_A_B2_height_window.json#/rows where run_label=A_FROZEN and physics_tick=7109","A body collider min and direct USD mount were not retained. 7777 is RR source tail, NOT full-run terminal. Old qualification is not current semantic Q.",,,,,,,,,,
"A_FROZEN","RR_PLACE_EVENT","RR_PLACE_EVENT",1,,7579,63.15833333333333,,,7578,7579,,,,,0.07722724974155426,,0.20529992930572452,0.20529994368553162,,0.09133947236370688,-0.0017831984503325904,-18.5,13.600000000000001,25.967793402265016,15.4,14.15,22.268671683864092,-6.9,-6.9,-6.377609016178791,-37.8,,,,-37.40496191671092,-38.05484892611804,21.94515107388196,,,,,,true,true,true,,,,,,,,,,false,,,,,,"Frozen A cached wheel extents; old ACTIVE_LIFT semantics, source entry/VERIFY behavior differs; not a same-runtime controlled comparison","C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\observation_120hz.jsonl",7580,"C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\full12_commands_120hz.jsonl",7579,,,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_height_and_p02_recovery_v1\existing_A_B2_height_window.json#/rows where run_label=A_FROZEN and physics_tick=7579","A body collider min and direct USD mount were not retained. 7777 is RR source tail, NOT full-run terminal. Old qualification is not current semantic Q.",,,,,,,,,,
"A_FROZEN","P09_FINITE_SOURCE_TAIL","P09_FINITE_SOURCE_TAIL",1,,7777,64.80833333333334,,,7776,7777,,,,,0.10942806303501129,,0.18652387531393716,0.18652385473251343,,0.07174986941647177,-0.0007547873599585975,-18.5,-17.999187130524604,-18.737287111802086,15.4,16.221511668450894,15.441781495220456,-6.9,-5.174907446335554,-6.886107635262954,-37.8,,,,-27.799999999999997,-52.90949267270944,7.09050732729056,,,,,,true,true,true,,,,,,,,,,false,,,,,,"Frozen A cached wheel extents; old ACTIVE_LIFT semantics, source entry/VERIFY behavior differs; not a same-runtime controlled comparison","C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\observation_120hz.jsonl",7778,"C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\full12_commands_120hz.jsonl",7777,,,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_height_and_p02_recovery_v1\existing_A_B2_height_window.json#/rows where run_label=A_FROZEN and physics_tick=7777","A body collider min and direct USD mount were not retained. 7777 is RR source tail, NOT full-run terminal. Old qualification is not current semantic Q.",,,,,,,,,,
"B2_ZERO","P07_SOURCE_START","P07_SOURCE_START",1,,5160,43,5160,5161,5159,5160,,,0.1321349335498972,,0.09104172140359879,,0.20483562192149773,0.20483563840389252,,-0.218984391857866,-0.05092924746865264,24.9,22.4,22.800721769042024,6.9,6.9,7.510796349886137,0,0,0.4868563909666113,0,0,,0,0,-0.19220723285541813,59.80779276714458,,,,,,,,,,,,,,,,,,false,,,,,,"B2 original link-origin nominal geometry projection; no height candidate; differs from new collider-point/trust-region geometry as well as FL/RL candidate","C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_fsm_reference_p09_stable_v2\video_eval\prior_B\20260914T2310036230645Z_g4db24eabd129_332256dc4c39442d8d4f8b257a0df053\source\physical_observations.jsonl",5161,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_fsm_reference_p09_stable_v2\video_eval\prior_B\20260914T2310036230645Z_g4db24eabd129_332256dc4c39442d8d4f8b257a0df053\source\native_tick_audit.jsonl",5160,,,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_height_and_p02_recovery_v1\existing_A_B2_height_window.json#/rows where run_label=B2_ZERO and physics_tick=5160","Direct USD mount/independent height stream absent; URDF estimate is separate. Missing exact sparse headroom stays null.",,,,,,,,,,
"B2_ZERO","P08_SOURCE_START","P08_SOURCE_START",1,,5360,44.666666666666664,5360,5361,5359,5360,,,0.13314960770279788,,0.09433291107416153,,0.20829917652925445,0.2082991749048233,,-0.20711493151355143,-0.049995999261233576,39.7,38.45,42.063472275763985,6.9,6.9,8.435796916349917,0,0,-0.13411041750765657,0,0,,0,0,0.19698756319410704,60.19698756319411,,,,,,,,,,,,,,,,,,false,,,,,,"B2 original link-origin nominal geometry projection; no height candidate; differs from new collider-point/trust-region geometry as well as FL/RL candidate","C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_fsm_reference_p09_stable_v2\video_eval\prior_B\20260914T2310036230645Z_g4db24eabd129_332256dc4c39442d8d4f8b257a0df053\source\physical_observations.jsonl",5361,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_fsm_reference_p09_stable_v2\video_eval\prior_B\20260914T2310036230645Z_g4db24eabd129_332256dc4c39442d8d4f8b257a0df053\source\native_tick_audit.jsonl",5360,,,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_height_and_p02_recovery_v1\existing_A_B2_height_window.json#/rows where run_label=B2_ZERO and physics_tick=5360","Direct USD mount/independent height stream absent; URDF estimate is separate. Missing exact sparse headroom stays null.",,,,,,,,,,
"B2_ZERO","RR_FIRST_QUALIFICATION","RR_FIRST_QUALIFICATION",1,,5425,45.208333333333336,,,5424,5425,,,0.09040292134081973,,0.05509444326162338,,0.19552614824977246,0.19552618265151978,,-0.17762878196406717,-0.041823265946783574,38.6,38.6,38.55466408025045,31.199999999999996,31.199999999999996,30.073025121986372,17.5,10.25,4.449332367898152,0,,,,0,0.14515331928136643,60.14515331928137,,,,,,,,,,,,,,,,,,false,,,,,,"B2 original link-origin nominal geometry projection; no height candidate; differs from new collider-point/trust-region geometry as well as FL/RL candidate","C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_fsm_reference_p09_stable_v2\video_eval\prior_B\20260914T2310036230645Z_g4db24eabd129_332256dc4c39442d8d4f8b257a0df053\source\physical_observations.jsonl",5426,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_fsm_reference_p09_stable_v2\video_eval\prior_B\20260914T2310036230645Z_g4db24eabd129_332256dc4c39442d8d4f8b257a0df053\source\native_tick_audit.jsonl",5425,,,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_height_and_p02_recovery_v1\existing_A_B2_height_window.json#/rows where run_label=B2_ZERO and physics_tick=5425","Direct USD mount/independent height stream absent; URDF estimate is separate. Missing exact sparse headroom stays null.",,,,,,,,,,
"B2_ZERO","P09_FINITE_SOURCE_TAIL","P09_FINITE_SOURCE_TAIL",1,,6273,52.275,,,6272,6273,,,0.10423310688534133,,0.09924273937940598,,0.16100719057195956,0.16100716590881348,,-0.029748168160203647,-0.012049000113502996,-18.5,-19.663239778393148,-18.81326101348743,15.4,13.420246184153564,15.43747335340147,-6.9,-6.3150403876827195,-6.798583883691118,-37.8,,,,-59.483438419505006,-59.4456524442369,0.5543475557631012,,,,,,,,,,,,,,,,,,false,,,,,,"B2 original link-origin nominal geometry projection; no height candidate; differs from new collider-point/trust-region geometry as well as FL/RL candidate","C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_fsm_reference_p09_stable_v2\video_eval\prior_B\20260914T2310036230645Z_g4db24eabd129_332256dc4c39442d8d4f8b257a0df053\source\physical_observations.jsonl",6274,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\runs\ppo_fsm_reference_p09_stable_v2\video_eval\prior_B\20260914T2310036230645Z_g4db24eabd129_332256dc4c39442d8d4f8b257a0df053\source\native_tick_audit.jsonl",6273,,,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_height_and_p02_recovery_v1\existing_A_B2_height_window.json#/rows where run_label=B2_ZERO and physics_tick=6273","Direct USD mount/independent height stream absent; URDF estimate is separate. Missing exact sparse headroom stays null.",,,,,,,,,,
