state_id,objective,channel_index,channel_name,actuator_family,unit,enabled,role,sensitivity_tier,absolute_lower,absolute_upper,safety_lower,safety_upper,safety_span,residual_scale,safe_span_fraction,recording_envelope_hard_cap,derivation
P01,INITIAL_LOAD_TRANSFER_FR,0,front_left_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P01,INITIAL_LOAD_TRANSFER_FR,1,front_left_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P01,INITIAL_LOAD_TRANSFER_FR,2,front_right_hip,servo,deg,True,clearance,high,-135.0,135.0,-133.0,133.0,266.0,1.0,0.0037593984962406013,False,safe_span_x_phase_role_x_sensitivity_tier
P01,INITIAL_LOAD_TRANSFER_FR,3,front_right_knee,servo,deg,True,clearance,high,-60.0,210.0,-58.0,208.0,266.0,1.25,0.004699248120300752,False,safe_span_x_phase_role_x_sensitivity_tier
P01,INITIAL_LOAD_TRANSFER_FR,4,rear_left_hip,servo,deg,True,load_transfer,medium,-135.0,135.0,-133.0,133.0,266.0,2.25,0.008458646616541353,False,safe_span_x_phase_role_x_sensitivity_tier
P01,INITIAL_LOAD_TRANSFER_FR,5,rear_left_knee,servo,deg,True,load_transfer,medium,-60.0,210.0,-58.0,208.0,266.0,1.75,0.006578947368421052,False,safe_span_x_phase_role_x_sensitivity_tier
P01,INITIAL_LOAD_TRANSFER_FR,6,rear_right_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P01,INITIAL_LOAD_TRANSFER_FR,7,rear_right_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P01,INITIAL_LOAD_TRANSFER_FR,8,front_left_ankle,wheel,rad_s,True,drive,medium,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
P01,INITIAL_LOAD_TRANSFER_FR,9,front_right_ankle,wheel,rad_s,True,drive,medium,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
P01,INITIAL_LOAD_TRANSFER_FR,10,rear_left_ankle,wheel,rad_s,True,drive,medium,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
P01,INITIAL_LOAD_TRANSFER_FR,11,rear_right_ankle,wheel,rad_s,True,drive,medium,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
P02,FR_ACTIVE_LIFT,0,front_left_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P02,FR_ACTIVE_LIFT,1,front_left_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P02,FR_ACTIVE_LIFT,2,front_right_hip,servo,deg,True,active_clearance,high,-135.0,135.0,-133.0,133.0,266.0,0.75,0.002819548872180451,False,safe_span_x_phase_role_x_sensitivity_tier
P02,FR_ACTIVE_LIFT,3,front_right_knee,servo,deg,True,active_clearance,high,-60.0,210.0,-58.0,208.0,266.0,1.0,0.0037593984962406013,False,safe_span_x_phase_role_x_sensitivity_tier
P02,FR_ACTIVE_LIFT,4,rear_left_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P02,FR_ACTIVE_LIFT,5,rear_left_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P02,FR_ACTIVE_LIFT,6,rear_right_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P02,FR_ACTIVE_LIFT,7,rear_right_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P02,FR_ACTIVE_LIFT,8,front_left_ankle,wheel,rad_s,True,support_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.06,0.014323944878270581,False,safe_span_x_phase_role_x_sensitivity_tier
P02,FR_ACTIVE_LIFT,9,front_right_ankle,wheel,rad_s,True,active_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.05,0.011936620731892153,False,safe_span_x_phase_role_x_sensitivity_tier
P02,FR_ACTIVE_LIFT,10,rear_left_ankle,wheel,rad_s,True,support_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.06,0.014323944878270581,False,safe_span_x_phase_role_x_sensitivity_tier
P02,FR_ACTIVE_LIFT,11,rear_right_ankle,wheel,rad_s,True,support_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.06,0.014323944878270581,False,safe_span_x_phase_role_x_sensitivity_tier
P03,FR_CROSS_AND_PLACE,0,front_left_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P03,FR_CROSS_AND_PLACE,1,front_left_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P03,FR_CROSS_AND_PLACE,2,front_right_hip,servo,deg,True,active_swing,medium,-135.0,135.0,-133.0,133.0,266.0,2.5,0.009398496240601503,False,safe_span_x_phase_role_x_sensitivity_tier
P03,FR_CROSS_AND_PLACE,3,front_right_knee,servo,deg,True,active_swing,medium,-60.0,210.0,-58.0,208.0,266.0,4.0,0.015037593984962405,False,safe_span_x_phase_role_x_sensitivity_tier
P03,FR_CROSS_AND_PLACE,4,rear_left_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P03,FR_CROSS_AND_PLACE,5,rear_left_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P03,FR_CROSS_AND_PLACE,6,rear_right_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P03,FR_CROSS_AND_PLACE,7,rear_right_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P03,FR_CROSS_AND_PLACE,8,front_left_ankle,wheel,rad_s,True,support_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
P03,FR_CROSS_AND_PLACE,9,front_right_ankle,wheel,rad_s,True,placement_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.05,0.011936620731892153,False,safe_span_x_phase_role_x_sensitivity_tier
P03,FR_CROSS_AND_PLACE,10,rear_left_ankle,wheel,rad_s,True,support_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
P03,FR_CROSS_AND_PLACE,11,rear_right_ankle,wheel,rad_s,True,support_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
P04,FL_UNLOAD_PREP,0,front_left_hip,servo,deg,True,active_clearance,high,-135.0,135.0,-133.0,133.0,266.0,1.25,0.004699248120300752,False,safe_span_x_phase_role_x_sensitivity_tier
P04,FL_UNLOAD_PREP,1,front_left_knee,servo,deg,True,active_clearance,high,-60.0,210.0,-58.0,208.0,266.0,1.25,0.004699248120300752,False,safe_span_x_phase_role_x_sensitivity_tier
P04,FL_UNLOAD_PREP,2,front_right_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P04,FL_UNLOAD_PREP,3,front_right_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P04,FL_UNLOAD_PREP,4,rear_left_hip,servo,deg,True,load_transfer,medium,-135.0,135.0,-133.0,133.0,266.0,2.0,0.007518796992481203,False,safe_span_x_phase_role_x_sensitivity_tier
P04,FL_UNLOAD_PREP,5,rear_left_knee,servo,deg,True,load_transfer,medium,-60.0,210.0,-58.0,208.0,266.0,1.75,0.006578947368421052,False,safe_span_x_phase_role_x_sensitivity_tier
P04,FL_UNLOAD_PREP,6,rear_right_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P04,FL_UNLOAD_PREP,7,rear_right_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P04,FL_UNLOAD_PREP,8,front_left_ankle,wheel,rad_s,True,transfer_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.06,0.014323944878270581,False,safe_span_x_phase_role_x_sensitivity_tier
P04,FL_UNLOAD_PREP,9,front_right_ankle,wheel,rad_s,True,transfer_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.06,0.014323944878270581,False,safe_span_x_phase_role_x_sensitivity_tier
P04,FL_UNLOAD_PREP,10,rear_left_ankle,wheel,rad_s,True,transfer_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.06,0.014323944878270581,False,safe_span_x_phase_role_x_sensitivity_tier
P04,FL_UNLOAD_PREP,11,rear_right_ankle,wheel,rad_s,True,transfer_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.06,0.014323944878270581,False,safe_span_x_phase_role_x_sensitivity_tier
P05,FL_ACTIVE_LIFT_AND_PLACE,0,front_left_hip,servo,deg,True,active_swing,medium,-135.0,135.0,-133.0,133.0,266.0,3.0,0.011278195488721804,False,safe_span_x_phase_role_x_sensitivity_tier
P05,FL_ACTIVE_LIFT_AND_PLACE,1,front_left_knee,servo,deg,True,active_swing,medium,-60.0,210.0,-58.0,208.0,266.0,4.0,0.015037593984962405,False,safe_span_x_phase_role_x_sensitivity_tier
P05,FL_ACTIVE_LIFT_AND_PLACE,2,front_right_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P05,FL_ACTIVE_LIFT_AND_PLACE,3,front_right_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P05,FL_ACTIVE_LIFT_AND_PLACE,4,rear_left_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P05,FL_ACTIVE_LIFT_AND_PLACE,5,rear_left_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P05,FL_ACTIVE_LIFT_AND_PLACE,6,rear_right_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P05,FL_ACTIVE_LIFT_AND_PLACE,7,rear_right_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P05,FL_ACTIVE_LIFT_AND_PLACE,8,front_left_ankle,wheel,rad_s,True,placement_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.05,0.011936620731892153,False,safe_span_x_phase_role_x_sensitivity_tier
P05,FL_ACTIVE_LIFT_AND_PLACE,9,front_right_ankle,wheel,rad_s,True,support_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
P05,FL_ACTIVE_LIFT_AND_PLACE,10,rear_left_ankle,wheel,rad_s,True,support_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
P05,FL_ACTIVE_LIFT_AND_PLACE,11,rear_right_ankle,wheel,rad_s,True,support_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
P06,FRONT_PAIR_ADVANCE,0,front_left_hip,servo,deg,True,body_support,high,-135.0,135.0,-133.0,133.0,266.0,1.25,0.004699248120300752,False,safe_span_x_phase_role_x_sensitivity_tier
P06,FRONT_PAIR_ADVANCE,1,front_left_knee,servo,deg,True,body_support,high,-60.0,210.0,-58.0,208.0,266.0,1.25,0.004699248120300752,False,safe_span_x_phase_role_x_sensitivity_tier
P06,FRONT_PAIR_ADVANCE,2,front_right_hip,servo,deg,True,body_support,high,-135.0,135.0,-133.0,133.0,266.0,1.25,0.004699248120300752,False,safe_span_x_phase_role_x_sensitivity_tier
P06,FRONT_PAIR_ADVANCE,3,front_right_knee,servo,deg,True,body_support,high,-60.0,210.0,-58.0,208.0,266.0,1.25,0.004699248120300752,False,safe_span_x_phase_role_x_sensitivity_tier
