offset,name,group,unit,source,frame,normalization,clip,nan_policy,deployability
0,state_is_P01,state_one_hot,boolean,fixed FSM state graph,fsm,"{""method"":""identity"",""scale"":1.0}","[0.0,1.0]",reject_episode,runtime_observable
1,state_is_P02,state_one_hot,boolean,fixed FSM state graph,fsm,"{""method"":""identity"",""scale"":1.0}","[0.0,1.0]",reject_episode,runtime_observable
2,state_is_P03,state_one_hot,boolean,fixed FSM state graph,fsm,"{""method"":""identity"",""scale"":1.0}","[0.0,1.0]",reject_episode,runtime_observable
3,state_is_P04,state_one_hot,boolean,fixed FSM state graph,fsm,"{""method"":""identity"",""scale"":1.0}","[0.0,1.0]",reject_episode,runtime_observable
4,state_is_P05,state_one_hot,boolean,fixed FSM state graph,fsm,"{""method"":""identity"",""scale"":1.0}","[0.0,1.0]",reject_episode,runtime_observable
5,state_is_P06,state_one_hot,boolean,fixed FSM state graph,fsm,"{""method"":""identity"",""scale"":1.0}","[0.0,1.0]",reject_episode,runtime_observable
6,state_is_P07,state_one_hot,boolean,fixed FSM state graph,fsm,"{""method"":""identity"",""scale"":1.0}","[0.0,1.0]",reject_episode,runtime_observable
7,state_is_P08,state_one_hot,boolean,fixed FSM state graph,fsm,"{""method"":""identity"",""scale"":1.0}","[0.0,1.0]",reject_episode,runtime_observable
8,state_is_P09,state_one_hot,boolean,fixed FSM state graph,fsm,"{""method"":""identity"",""scale"":1.0}","[0.0,1.0]",reject_episode,runtime_observable
9,state_is_P10,state_one_hot,boolean,fixed FSM state graph,fsm,"{""method"":""identity"",""scale"":1.0}","[0.0,1.0]",reject_episode,runtime_observable
10,state_is_P11,state_one_hot,boolean,fixed FSM state graph,fsm,"{""method"":""identity"",""scale"":1.0}","[0.0,1.0]",reject_episode,runtime_observable
11,state_is_P12,state_one_hot,boolean,fixed FSM state graph,fsm,"{""method"":""identity"",""scale"":1.0}","[0.0,1.0]",reject_episode,runtime_observable
