"run_label","action_identity","source_event","command_pre_step_tick","command_post_step_tick","command_pre_step_time_s","measured_response_tick","command_post_step_time_s","nominal_selected_joint_deg","nominal_wheel_rad_s","measured_response_status","available_response_sample_tick","available_response_sample","entry_observation_tick","entry_physical_state","successor_start_tick","continuation_condition_or_wait_reason","source_path","source_line","evidence_pointer","physical_source_path","sample_limit","selected_joint_array_order","leg_and_wheel_array_order","endpoint_time_s","successor_time_s","successor_source_line","measured_event_time_s","terminal_tick","terminal_phase","completion_values","nominal_rr_carry","summary_source","physical_task_success","independent_final_evaluator","owner_observation_tick","decision_end_tick","owner_source_ticks","last_observed_wait_tick","observed_decision_snapshots","TOP_diagnostic_decision_line","TOP_diagnostic_reported_at_decision_end_tick","TOP_diagnostic","TOP_classification_at_command_tick","actual_native_wheel_target_rad_s","terminal_physical_sample_tick","terminal_physical_sample","RR_front_advance_to_terminal_m"
"A_FSM","FL_open_space","{""step"":11,""event"":0}",6648,6649,55.4,,55.40833333333333,"[37.6,45.9,6.9,0,0]","[0,0,0,0]","exact physical response onset not established",6688,"{""physics_tick"":6688,""physical_source_line"":6689,""body_origin_world_m"":[0.7025071978569031,-0.00570283830165863,0.09115904569625854],""com_world_m"":[0.6854006449670079,-0.12298552078170977,0.16989399612726455],""com_valid"":true,""actual_selected_joint_deg"":[46.104441000080726,45.69017698019091,6.8095570495002065,-1.4522441327969404,1.0150529020911216],""legs_contact"":[""AIR"",""OBSTACLE"",""GROUND"",""GROUND""],""legs_ground_force_n"":[0,0,14.018765449524052,2.205211639404317],""legs_obstacle_force_n"":[0,12.080438967399951,0,0],""legs_ground_pair_verified"":[true,true,true,true],""legs_obstacle_pair_verified"":[true,true,true,true],""RR_wheel_center_world_m"":[0.39983513951301575,-0.32912859320640564,0.04967460036277771],""RR_clearance_m"":-0.05031560245586009}",6648,"{""physics_tick"":6648,""physical_source_line"":6649,""body_origin_world_m"":[0.7029315829277039,-0.006110928952693939,0.09409128874540329],""com_world_m"":[0.6849691238548244,-0.12428516216660339,0.16429149280738586],""com_valid"":true,""actual_selected_joint_deg"":[21.863976692300408,45.566400292051945,6.285813448188574,-0.862226085390764,0.7671436622852512],""legs_contact"":[""OBSTACLE"",""OBSTACLE"",""GROUND"",""GROUND""],""legs_ground_force_n"":[0,0,7.185912132263248,8.105963706970288],""legs_obstacle_force_n"":[7.045222298153948,6.386609881140858,0,0],""legs_ground_pair_verified"":[true,true,true,true],""legs_obstacle_pair_verified"":[true,true,true,true],""RR_wheel_center_world_m"":[0.39973264932632446,-0.3293452560901642,0.049726035445928574],""RR_clearance_m"":-0.05026416737270922}",,,"C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\full12_commands_120hz.jsonl",6649,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_timing_task_priority_v1\rear_sequence_before_source_evidence.json#/source_event_sequence/0","C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\observation_120hz.jsonl","Explicit nearest retained pre/after samples; not onset or same-tick fill. Body motion is not leg loading.","[""FL_hip"",""FR_knee"",""RL_hip"",""RR_hip"",""RR_knee""]","[""FL"",""FR"",""RL"",""RR""]",,,,,,,,,,,,,,,,,,,,,,,,
"A_FSM","FR_knee_and_wheel_atomic","{""step"":12,""event"":0}",6688,6689,55.733333333333334,,55.74166666666667,"[49.2,31.1,6.9,0,0]","[0,-0.63,0,0]","exact physical response onset not established",6856,"{""physics_tick"":6856,""physical_source_line"":6857,""body_origin_world_m"":[0.7017213702201843,-0.005996569991111755,0.094422347843647],""com_world_m"":[0.6822825208187429,-0.12386443339387439,0.17075827819239295],""com_valid"":true,""actual_selected_joint_deg"":[40.00197775028157,30.499863586839236,6.557276755429792,-0.5684260318511944,0.5882992676541399],""legs_contact"":[""AIR"",""OBSTACLE"",""GROUND"",""GROUND""],""legs_ground_force_n"":[0,0,14.299285888672005,1.362856984138501],""legs_obstacle_force_n"":[0,13.264424430564816,0,0],""legs_ground_pair_verified"":[true,true,true,true],""legs_obstacle_pair_verified"":[true,true,true,true],""RR_wheel_center_world_m"":[0.39844781160354614,-0.32930788397789,0.04971448704600334],""RR_clearance_m"":-0.050275715772634455}",6688,"{""physics_tick"":6688,""physical_source_line"":6689,""body_origin_world_m"":[0.7025071978569031,-0.00570283830165863,0.09115904569625854],""com_world_m"":[0.6854006449670079,-0.12298552078170977,0.16989399612726455],""com_valid"":true,""actual_selected_joint_deg"":[46.104441000080726,45.69017698019091,6.8095570495002065,-1.4522441327969404,1.0150529020911216],""legs_contact"":[""AIR"",""OBSTACLE"",""GROUND"",""GROUND""],""legs_ground_force_n"":[0,0,14.018765449524052,2.205211639404317],""legs_obstacle_force_n"":[0,12.080438967399951,0,0],""legs_ground_pair_verified"":[true,true,true,true],""legs_obstacle_pair_verified"":[true,true,true,true],""RR_wheel_center_world_m"":[0.39983513951301575,-0.32912859320640564,0.04967460036277771],""RR_clearance_m"":-0.05031560245586009}",,,"C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\full12_commands_120hz.jsonl",6689,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_timing_task_priority_v1\rear_sequence_before_source_evidence.json#/source_event_sequence/4","C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\observation_120hz.jsonl","Explicit nearest retained pre/after samples; not onset or same-tick fill. Body motion is not leg loading.","[""FL_hip"",""FR_knee"",""RL_hip"",""RR_hip"",""RR_knee""]","[""FL"",""FR"",""RL"",""RR""]",,,,,,,,,,,,,,,,,,,,,,,,
"A_FSM","explicit_all_four_wheel_stop","{""step"":12,""event"":1}",6808,6809,56.733333333333334,,56.74166666666667,"[49.2,31.1,6.9,0,0]","[0,0,0,0]","exact physical response onset not established",6856,"{""physics_tick"":6856,""physical_source_line"":6857,""body_origin_world_m"":[0.7017213702201843,-0.005996569991111755,0.094422347843647],""com_world_m"":[0.6822825208187429,-0.12386443339387439,0.17075827819239295],""com_valid"":true,""actual_selected_joint_deg"":[40.00197775028157,30.499863586839236,6.557276755429792,-0.5684260318511944,0.5882992676541399],""legs_contact"":[""AIR"",""OBSTACLE"",""GROUND"",""GROUND""],""legs_ground_force_n"":[0,0,14.299285888672005,1.362856984138501],""legs_obstacle_force_n"":[0,13.264424430564816,0,0],""legs_ground_pair_verified"":[true,true,true,true],""legs_obstacle_pair_verified"":[true,true,true,true],""RR_wheel_center_world_m"":[0.39844781160354614,-0.32930788397789,0.04971448704600334],""RR_clearance_m"":-0.050275715772634455}",6688,"{""physics_tick"":6688,""physical_source_line"":6689,""body_origin_world_m"":[0.7025071978569031,-0.00570283830165863,0.09115904569625854],""com_world_m"":[0.6854006449670079,-0.12298552078170977,0.16989399612726455],""com_valid"":true,""actual_selected_joint_deg"":[46.104441000080726,45.69017698019091,6.8095570495002065,-1.4522441327969404,1.0150529020911216],""legs_contact"":[""AIR"",""OBSTACLE"",""GROUND"",""GROUND""],""legs_ground_force_n"":[0,0,14.018765449524052,2.205211639404317],""legs_obstacle_force_n"":[0,12.080438967399951,0,0],""legs_ground_pair_verified"":[true,true,true,true],""legs_obstacle_pair_verified"":[true,true,true,true],""RR_wheel_center_world_m"":[0.39983513951301575,-0.32912859320640564,0.04967460036277771],""RR_clearance_m"":-0.05031560245586009}",,"Authored four-wheel stop, not an ordinary phase-transition reset","C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\full12_commands_120hz.jsonl",6809,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_timing_task_priority_v1\rear_sequence_before_source_evidence.json#/source_event_sequence/5","C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\observation_120hz.jsonl","Explicit nearest retained pre/after samples; not onset or same-tick fill. Body motion is not leg loading.","[""FL_hip"",""FR_knee"",""RL_hip"",""RR_hip"",""RR_knee""]","[""FL"",""FR"",""RL"",""RR""]",,,,,,,,,,,,,,,,,,,,,,,,
"A_FSM","RL_transfer","{""step"":14,""event"":0}",6856,6857,57.13333333333333,,57.141666666666666,"[38.6,31.1,14.3,0,0]","[0,0,0,0]","exact physical response onset not established",6912,"{""physics_tick"":6912,""physical_source_line"":6913,""body_origin_world_m"":[0.753206729888916,0.002408742904663086,0.07305853068828583],""com_world_m"":[0.7234828567979542,-0.10218293341918634,0.16570869516440204],""com_valid"":true,""actual_selected_joint_deg"":[37.318652557477435,28.955137758865398,28.858989732867872,-0.7501295009801907,0.6408197938335414],""legs_contact"":[""AIR"",""OBSTACLE"",""GROUND"",""AIR""],""legs_ground_force_n"":[0,0,16.23696899414077,0],""legs_obstacle_force_n"":[0,13.219639778137253,0,0],""legs_ground_pair_verified"":[true,true,true,true],""legs_obstacle_pair_verified"":[true,true,true,true],""RR_wheel_center_world_m"":[0.45589229464530945,-0.32874351739883423,0.05660835653543472],""RR_clearance_m"":-0.043381846283203074}",6856,"{""physics_tick"":6856,""physical_source_line"":6857,""body_origin_world_m"":[0.7017213702201843,-0.005996569991111755,0.094422347843647],""com_world_m"":[0.6822825208187429,-0.12386443339387439,0.17075827819239295],""com_valid"":true,""actual_selected_joint_deg"":[40.00197775028157,30.499863586839236,6.557276755429792,-0.5684260318511944,0.5882992676541399],""legs_contact"":[""AIR"",""OBSTACLE"",""GROUND"",""GROUND""],""legs_ground_force_n"":[0,0,14.299285888672005,1.362856984138501],""legs_obstacle_force_n"":[0,13.264424430564816,0,0],""legs_ground_pair_verified"":[true,true,true,true],""legs_obstacle_pair_verified"":[true,true,true,true],""RR_wheel_center_world_m"":[0.39844781160354614,-0.32930788397789,0.04971448704600334],""RR_clearance_m"":-0.050275715772634455}",,,"C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\full12_commands_120hz.jsonl",6857,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_timing_task_priority_v1\rear_sequence_before_source_evidence.json#/source_event_sequence/11","C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\observation_120hz.jsonl","Explicit nearest retained pre/after samples; not onset or same-tick fill. Body motion is not leg loading.","[""FL_hip"",""FR_knee"",""RL_hip"",""RR_hip"",""RR_knee""]","[""FL"",""FR"",""RL"",""RR""]",,,,,,,,,,,,,,,,,,,,,,,,
"A_FSM","RR_swing_start","{""step"":15,""event"":0}",6912,6913,57.6,,57.608333333333334,"[38.6,31.1,31.2,1.6,0]","[0,0,0,0]","exact physical response onset not established",,,6912,"{""physics_tick"":6912,""physical_source_line"":6913,""body_origin_world_m"":[0.753206729888916,0.002408742904663086,0.07305853068828583],""com_world_m"":[0.7234828567979542,-0.10218293341918634,0.16570869516440204],""com_valid"":true,""actual_selected_joint_deg"":[37.318652557477435,28.955137758865398,28.858989732867872,-0.7501295009801907,0.6408197938335414],""legs_contact"":[""AIR"",""OBSTACLE"",""GROUND"",""AIR""],""legs_ground_force_n"":[0,0,16.23696899414077,0],""legs_obstacle_force_n"":[0,13.219639778137253,0,0],""legs_ground_pair_verified"":[true,true,true,true],""legs_obstacle_pair_verified"":[true,true,true,true],""RR_wheel_center_world_m"":[0.45589229464530945,-0.32874351739883423,0.05660835653543472],""RR_clearance_m"":-0.043381846283203074}",,,"C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\full12_commands_120hz.jsonl",6913,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_timing_task_priority_v1\rear_sequence_before_source_evidence.json#/source_event_sequence/18","C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\observation_120hz.jsonl","Explicit nearest retained pre/after samples; not onset or same-tick fill. Body motion is not leg loading.","[""FL_hip"",""FR_knee"",""RL_hip"",""RR_hip"",""RR_knee""]","[""FL"",""FR"",""RL"",""RR""]",,,,,,,,,,,,,,,,,,,,,,,,
"A_FSM","P07_legacy_endpoint_wait",,,,,,,,,"exact physical response onset not established",,,,,,"rear_entry_alignment; historical gate evidence only, MUST NOT restore as PPO gate","C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\state_transitions.jsonl",26,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_timing_task_priority_v1\rear_sequence_before_source_evidence.json#/A_lifecycle/0",,,"[""FL_hip"",""FR_knee"",""RL_hip"",""RR_hip"",""RR_knee""]","[""FL"",""FR"",""RL"",""RR""]",57.06666666666666,57.13333333333333,27,,,,,,,,,,,,,,,,,,,,,
"A_FSM","P08_legacy_endpoint_wait",,,,,,,,,"exact physical response onset not established",,,,,,"rr_unload_compatible_geometry; historical gate evidence only, MUST NOT restore as PPO gate","C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\state_transitions.jsonl",30,"C:\robotics_sim\wlr_robot\fsm_base_on_recording_ppo_phase_v1\outputs\ppo_timing_task_priority_v1\rear_sequence_before_source_evidence.json#/A_lifecycle/1",,,"[""FL_hip"",""FR_knee"",""RL_hip"",""RR_hip"",""RR_knee""]","[""FL"",""FR"",""RL"",""RR""]",57.53333333333333,57.6,31,,,,,,,,,,,,,,,,,,,,,
"A_FSM","RR_initial_AIR_before_own_swing_sample",,,,,,,,,"I onset unknown; earliest AIR among already selected A samples, before RR own command effect",6912,"{""physics_tick"":6912,""physical_source_line"":6913,""body_origin_world_m"":[0.753206729888916,0.002408742904663086,0.07305853068828583],""com_world_m"":[0.7234828567979542,-0.10218293341918634,0.16570869516440204],""com_valid"":true,""actual_selected_joint_deg"":[37.318652557477435,28.955137758865398,28.858989732867872,-0.7501295009801907,0.6408197938335414],""legs_contact"":[""AIR"",""OBSTACLE"",""GROUND"",""AIR""],""legs_ground_force_n"":[0,0,16.23696899414077,0],""legs_obstacle_force_n"":[0,13.219639778137253,0,0],""legs_ground_pair_verified"":[true,true,true,true],""legs_obstacle_pair_verified"":[true,true,true,true],""RR_wheel_center_world_m"":[0.45589229464530945,-0.32874351739883423,0.05660835653543472],""RR_clearance_m"":-0.043381846283203074}",,,,,"C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\observation_120hz.jsonl",6913,,,,"[""FL_hip"",""FR_knee"",""RL_hip"",""RR_hip"",""RR_knee""]","[""FL"",""FR"",""RL"",""RR""]",,,,,,,,,,,,,,,,,,,,,,,,
"A_FSM","RR_ACTIVE_LIFT","ACTIVE_LIFT",,,,6918,,,,"Original A latch event, not identical to new I/Q/current-valid semantics",,,,,,"measured joint response plus wheel-bottom rise and exact-pair AIR history","C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\leg_crossing_events.jsonl",7,,,,"[""FL_hip"",""FR_knee"",""RL_hip"",""RR_hip"",""RR_knee""]","[""FL"",""FR"",""RL"",""RR""]",,,,57.65,,,,,,,,,,,,,,,,,,,,
"A_FSM","RR_FRONT_FACE_CROSSED","FRONT_FACE_CROSSED",,,,7109,,,,"Original A latch event, not identical to new I/Q/current-valid semantics",,,,,,"live wheel-center/front-plane latch","C:\robotics_sim\wlr_robot\fsm_50mm_recording_shaped_clean_v1\runs\trial_043_20260902_clean_v010\leg_crossing_events.jsonl",8,,,,"[""FL_hip"",""FR_knee"",""RL_hip"",""RR_hip"",""RR_knee""]","[""FL"",""FR"",""RL"",""RR""]",,,,59.24166666666667,,,,,,,,,,,,,,,,,,,,
